customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6734-['Z' 'V' 'C' 'U' 'S'],Female,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.53,1320.61,No
9807-['E' 'Z' 'Z' 'F' 'B'],Male,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.28,1427.53,No
5407-['Y' 'S' 'M' 'F' 'F'],Female,1,Yes,No,52,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),60.85,3117.37,No
2473-['Z' 'X' 'E' 'K' 'K'],Female,1,Yes,No,10,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,57.8,593.74,Yes
5557-['M' 'H' 'O' 'L' 'C'],Female,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,81.41,5676.58,Yes
5564-['W' 'E' 'F' 'B' 'H'],Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.08,3794.63,Yes
3852-['V' 'Q' 'Z' 'B' 'K'],Female,0,No,No,7,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,56.41,380.67,Yes
2955-['K' 'I' 'F' 'X' 'B'],Female,0,Yes,No,7,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,58.96,423.58,Yes
9302-['E' 'L' 'M' 'Q' 'D'],Female,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),93.08,6053.56,No
1554-['P' 'K' 'I' 'B' 'G'],Male,1,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),86.78,793.47,Yes
3226-['R' 'T' 'G' 'W' 'I'],Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,62.07,67.92,Yes
3347-['C' 'W' 'V' 'Z' 'P'],Male,0,No,No,28,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.98,2512.10,Yes
3774-['Z' 'E' 'Y' 'W' 'G'],Female,0,Yes,Yes,66,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,55.99,3680.62,Yes
4739-['S' 'Q' 'P' 'U' 'X'],Male,0,Yes,No,26,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.09,1466.96,Yes
9020-['Z' 'S' 'Y' 'R' 'S'],Male,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.64,1479.49,No
1763-['D' 'Z' 'A' 'D' 'D'],Female,0,Yes,Yes,66,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.96,5992.84,Yes
4719-['B' 'W' 'F' 'W' 'K'],Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,73.65,4920.01,No
1109-['U' 'V' 'I' 'B' 'Y'],Male,1,No,Yes,45,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),71.03,3201.03,Yes
6529-['A' 'D' 'L' 'E' 'I'],Female,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,80.63,4615.49,Yes
3494-['V' 'D' 'P' 'B' 'P'],Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.17,821.85,Yes
8732-['X' 'X' 'V' 'K' 'A'],Female,0,No,No,2,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.87,120.22,Yes
2855-['X' 'D' 'R' 'Q' 'G'],Female,0,No,Yes,39,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),71.29,2776.20,No
4529-['A' 'B' 'Q' 'V' 'C'],Male,0,No,Yes,0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),59.51, ,No
6072-['L' 'X' 'L' 'T' 'J'],Female,0,Yes,No,32,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,68.39,2166.77,No
5350-['V' 'F' 'G' 'Q' 'L'],Male,0,No,No,2,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,53.99,125.62,Yes
1990-['R' 'N' 'K' 'B' 'U'],Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,51.33,Yes
2376-['K' 'B' 'P' 'V' 'C'],Male,0,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,1227.96,No
9755-['A' 'U' 'T' 'H' 'S'],Female,0,Yes,No,51,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,81.88,4150.60,No
7681-['A' 'Z' 'E' 'A' 'K'],Male,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,74.05,3787.89,No
3692-['B' 'M' 'R' 'Z' 'Y'],Female,1,Yes,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.93,1985.54,Yes
8053-['E' 'X' 'J' 'T' 'B'],Female,1,Yes,No,26,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,59.86,1558.84,Yes
9003-['L' 'K' 'D' 'K' 'I'],Male,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.9,1155.87,Yes
1201-['F' 'O' 'J' 'V' 'U'],Male,0,No,No,28,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.17,1878.70,Yes
6408-['U' 'V' 'X' 'T' 'U'],Female,0,Yes,No,45,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,80.06,3584.67,Yes
6887-['D' 'W' 'Z' 'V' 'N'],Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,71.99,451.00,Yes
5051-['V' 'T' 'H' 'K' 'O'],Female,0,No,No,10,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,81.79,830.78,Yes
2041-['V' 'X' 'Q' 'F' 'Y'],Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.09,724.82,No
8455-['O' 'M' 'Z' 'Z' 'R'],Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),80.64,1868.48,Yes
9972-['A' 'R' 'E' 'F' 'A'],Male,0,No,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.31,1291.25,No
9739-['I' 'O' 'F' 'Y' 'Q'],Female,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.43,1217.83,No
6043-['R' 'V' 'D' 'I' 'N'],Male,0,No,No,18,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),80.01,1432.98,No
3912-['K' 'A' 'L' 'Y' 'I'],Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.33,2446.35,Yes
8172-['O' 'R' 'I' 'M' 'M'],Male,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,1297.07,No
8849-['V' 'G' 'V' 'E' 'T'],Female,0,Yes,No,66,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,44.54,2930.49,No
9870-['T' 'J' 'J' 'Z' 'Y'],Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,80.36,580.93,Yes
7299-['M' 'O' 'F' 'T' 'L'],Female,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.71,260.86,No
2554-['K' 'F' 'A' 'B' 'W'],Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,78.61,161.56,Yes
5366-['D' 'E' 'O' 'K' 'J'],Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,77.86,4278.20,Yes
2552-['B' 'T' 'X' 'J' 'T'],Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.68,1550.44,Yes
4613-['C' 'S' 'E' 'C' 'H'],Male,0,No,No,39,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,59.81,2323.03,No
9219-['L' 'N' 'G' 'K' 'H'],Male,0,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),79.74,5031.55,Yes
6831-['L' 'O' 'S' 'P' 'N'],Female,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.86,1830.02,No
3075-['G' 'H' 'G' 'R' 'X'],Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,67.68,1172.74,No
6817-['S' 'D' 'W' 'C' 'Q'],Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.88,592.03,Yes
1373-['S' 'O' 'Z' 'F' 'Z'],Male,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.33,1290.46,No
2573-['K' 'T' 'T' 'J' 'Z'],Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.84,522.16,No
9561-['N' 'D' 'L' 'T' 'W'],Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,77.21,5082.84,Yes
6447-['G' 'Z' 'I' 'X' 'Y'],Male,0,No,Yes,4,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,40.25,189.02,Yes
3576-['J' 'C' 'U' 'Y' 'H'],Female,0,No,Yes,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,59.3,4101.46,No
6389-['Z' 'G' 'P' 'R' 'K'],Female,0,Yes,No,34,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,59.28,2017.25,No
8699-['U' 'N' 'U' 'M' 'D'],Male,0,No,No,5,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,38.13,182.67,Yes
4550-['T' 'K' 'R' 'A' 'L'],Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.69,854.29,No
1166-['L' 'A' 'V' 'D' 'R'],Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.39,1302.25,No
8342-['C' 'G' 'F' 'O' 'O'],Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.04,509.37,No
3151-['V' 'A' 'Z' 'M' 'W'],Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.79,422.25,Yes
2879-['U' 'M' 'K' 'D' 'G'],Female,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),76.01,3356.37,No
2803-['M' 'V' 'L' 'P' 'F'],Male,0,No,No,66,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,74.86,4953.63,No
2037-['S' 'P' 'Z' 'D' 'E'],Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.56,60.26,Yes
5264-['X' 'C' 'V' 'J' 'Q'],Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),78.14,78.14,Yes
7121-['L' 'W' 'G' 'R' 'S'],Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.12,71.12,Yes
4814-['L' 'V' 'G' 'J' 'Y'],Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.65,159.25,Yes
9951-['V' 'T' 'J' 'Y' 'W'],Female,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,87.18, ,Yes
8428-['R' 'I' 'P' 'G' 'Y'],Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),69.02,1901.56,No
9922-['Y' 'J' 'E' 'G' 'E'],Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,1046.42,No
3766-['S' 'J' 'H' 'X' 'I'],Female,0,Yes,No,58,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,85.38,4963.50,No
7666-['V' 'B' 'C' 'M' 'K'],Male,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,923.93,No
4726-['F' 'A' 'N' 'R' 'X'],Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,78.76,1028.66,Yes
7058-['H' 'V' 'C' 'N' 'B'],Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),74.04,4524.82,No
2084-['P' 'F' 'A' 'N' 'J'],Male,0,Yes,No,44,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),70.46,3124.01,No
3693-['I' 'G' 'Y' 'B' 'K'],Male,0,No,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.45,1427.33,No
4693-['E' 'I' 'G' 'Y' 'N'],Female,0,No,No,33,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),55.04,1815.64,No
8802-['P' 'V' 'P' 'G' 'J'],Female,0,No,Yes,5,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,70.01,347.18,Yes
5052-['F' 'Q' 'A' 'B' 'N'],Female,0,No,No,50,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.68,3601.71,Yes
8843-['I' 'W' 'F' 'Q' 'U'],Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.26,324.14,Yes
1106-['D' 'U' 'I' 'P' 'C'],Male,0,No,No,71,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,44.0,3110.83,No
6303-['C' 'M' 'S' 'Y' 'U'],Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,91.11,5182.81,No
2440-['W' 'W' 'F' 'V' 'C'],Female,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,1108.57,No
2615-['J' 'Y' 'Q' 'G' 'M'],Male,0,Yes,No,55,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,56.45,3101.59,No
4530-['J' 'G' 'X' 'F' 'X'],Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.81,40.06,Yes
2976-['L' 'D' 'C' 'F' 'Z'],Female,0,Yes,No,32,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,45.42,1433.85,Yes
4195-['P' 'M' 'I' 'Z' 'K'],Male,1,No,Yes,52,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,43.89,2273.20,No
8198-['U' 'M' 'W' 'S' 'C'],Male,1,Yes,Yes,8,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.95,530.14,Yes
9523-['S' 'H' 'N' 'V' 'I'],Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,1016.60,No
3423-['Q' 'F' 'D' 'D' 'S'],Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),82.93,5460.68,No
6176-['B' 'Q' 'O' 'J' 'C'],Male,0,No,Yes,11,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,57.15,611.34,Yes
3035-['D' 'V' 'A' 'A' 'R'],Female,0,Yes,No,6,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,46.05,271.61,Yes
1003-['W' 'V' 'O' 'Y' 'W'],Female,0,No,No,68,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),88.12,6003.32,No
9692-['V' 'J' 'Y' 'Q' 'Y'],Male,0,No,No,0,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,88.4, ,Yes
4251-['L' 'P' 'E' 'P' 'Q'],Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),75.79,679.09,Yes
1054-['O' 'M' 'H' 'U' 'B'],Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.61,597.09,No
6767-['J' 'G' 'J' 'Y' 'D'],Female,0,Yes,No,54,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,81.72,4401.83,No
3090-['I' 'D' 'C' 'K' 'C'],Male,0,No,No,71,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,75.95,5397.55,No
3809-['R' 'Z' 'S' 'N' 'X'],Female,0,Yes,No,22,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,81.5,1801.06,Yes
4991-['B' 'B' 'B' 'J' 'W'],Female,1,No,No,70,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,70.63,4930.43,No
7798-['V' 'L' 'K' 'Q' 'R'],Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),75.93,1583.14,No
2037-['Q' 'O' 'L' 'P' 'W'],Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.44,1077.70,No
7287-['B' 'H' 'G' 'A' 'D'],Female,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,66.17,338.30,Yes
2194-['T' 'G' 'R' 'D' 'Q'],Female,0,Yes,No,31,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,57.68,1776.45,Yes
9316-['K' 'K' 'T' 'K' 'O'],Female,1,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.5,1322.20,No
9621-['Q' 'B' 'R' 'P' 'L'],Female,1,Yes,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.46,372.65,No
9553-['P' 'C' 'H' 'V' 'V'],Female,0,No,No,3,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),47.32,149.20,No
4223-['B' 'V' 'A' 'N' 'Y'],Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,684.89,No
7115-['D' 'I' 'C' 'E' 'A'],Male,1,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,85.4,2474.10,No
5533-['S' 'A' 'J' 'V' 'L'],Male,1,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.21,179.95,No
4297-['P' 'H' 'N' 'O' 'P'],Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.84,1461.66,No
2674-['L' 'B' 'D' 'C' 'I'],Female,0,No,No,46,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,84.47,3893.95,No
8698-['G' 'D' 'F' 'S' 'A'],Male,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.56,1530.15,Yes
6471-['P' 'K' 'V' 'D' 'R'],Female,0,Yes,No,71,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),37.86,2693.17,No
2686-['Z' 'E' 'V' 'F' 'Y'],Male,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,72.75,287.96,Yes
7651-['B' 'L' 'V' 'I' 'T'],Male,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),80.36,5394.64,Yes
6404-['L' 'M' 'V' 'W' 'Q'],Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.36,154.56,No
4836-['M' 'J' 'O' 'O' 'R'],Female,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),78.94,617.03,Yes
6889-['W' 'K' 'M' 'K' 'D'],Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),86.12,3001.29,Yes
6365-['W' 'Y' 'K' 'R' 'P'],Female,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,951.45,No
1489-['L' 'M' 'I' 'U' 'M'],Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),78.18,4381.56,No
8909-['F' 'K' 'S' 'K' 'J'],Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.68, ,No
6710-['M' 'W' 'H' 'E' 'B'],Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,885.06,Yes
9847-['M' 'S' 'I' 'O' 'F'],Female,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,931.99,No
6351-['X' 'N' 'E' 'Q' 'V'],Male,1,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,1237.14,No
7950-['I' 'P' 'R' 'M' 'R'],Male,0,Yes,No,54,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,69.22,3750.80,Yes
8936-['U' 'R' 'S' 'B' 'D'],Female,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,205.69,No
5714-['C' 'I' 'J' 'B' 'G'],Female,0,Yes,No,36,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,53.51,1941.32,No
2274-['S' 'J' 'X' 'T' 'N'],Male,0,No,No,51,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,73.52,3728.49,No
2656-['K' 'C' 'W' 'Q' 'G'],Male,0,Yes,Yes,4,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),51.69,210.12,Yes
6273-['K' 'R' 'N' 'N' 'F'],Female,0,No,No,40,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.94,3995.37,No
2566-['I' 'V' 'C' 'Q' 'L'],Female,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,603.93,No
8230-['D' 'T' 'P' 'X' 'J'],Male,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.09,1386.02,Yes
5637-['G' 'J' 'G' 'W' 'R'],Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),66.76,3277.07,No
6032-['V' 'R' 'Q' 'K' 'A'],Female,0,Yes,No,50,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),75.45,3791.75,No
2891-['D' 'N' 'I' 'M' 'P'],Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,71.38,5039.51,Yes
8426-['S' 'H' 'R' 'F' 'T'],Male,0,No,Yes,28,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,61.77,1724.21,Yes
7748-['E' 'L' 'I' 'I' 'Q'],Male,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,76.1,2951.35,Yes
9720-['V' 'P' 'L' 'C' 'N'],Female,0,No,No,4,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),57.29,239.02,Yes
3352-['V' 'P' 'U' 'L' 'X'],Male,1,Yes,Yes,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,96.64,3966.54,Yes
